config_id,embedding_dim,heads,layers,drop_rate,num_epochs,batch_size,lr,train_avg_loss,train_perplexity,train_token_accuracy,train_num_samples,train_avg_bleu,train_exact_match_rate,test_avg_loss,test_perplexity,test_token_accuracy,test_num_samples,test_avg_bleu,test_exact_match_rate,number_parameter,cpp_model_size
emb12_h2_l1_d001_ep300_bs4_lr001,12,2,1,0.01,300,4,0.01,0.350768007338047,1.4201578214989672,0.8854916067146283,105,0.9841269841269842,0.9809523809523809,9.333456993103027,11310.163136535797,0.3419354838709677,27,0.06374940985951595,0.0,12780,198178
emb12_h2_l1_d001_ep300_bs4_lr0005,12,2,1,0.01,300,4,0.005,0.33844560384750366,1.4027654418355224,0.8872901678657075,105,0.9811894622303231,0.9809523809523809,8.974825859069824,7901.641953466199,0.36129032258064514,27,0.06572437244094625,0.0,12780,198297
emb12_h2_l1_d001_ep300_bs8_lr001,12,2,1,0.01,300,8,0.01,0.3538217917084694,1.4245013059147391,0.8687050359712231,105,0.9927508930494406,0.9904761904761905,9.290182113647461,10831.156420392275,0.36129032258064514,27,0.040410952354573954,0.0,12780,198126
emb12_h2_l1_d001_ep300_bs8_lr0005,12,2,1,0.01,300,8,0.005,0.33654457330703735,1.4001012750230597,0.8926858513189448,105,1.0,1.0,9.556411743164062,14135.034956412339,0.35053763440860214,27,0.03420401769757043,0.0,12780,198155
emb12_h2_l1_d001_ep500_bs4_lr001,12,2,1,0.01,500,4,0.01,0.3279712572693825,1.3881490725211525,0.8723021582733813,105,0.9904761904761905,0.9904761904761905,9.155142784118652,9462.981524555436,0.3720430107526882,27,0.016666666666666666,0.0,12780,198296
emb12_h2_l1_d001_ep500_bs4_lr0005,12,2,1,0.01,500,4,0.005,0.3313179165124893,1.3928025168484872,0.8896882494004796,105,0.986236559139785,0.9809523809523809,9.5632963180542,14232.684414955957,0.35913978494623655,27,0.007407407407407408,0.0,12780,198080
emb12_h2_l1_d001_ep500_bs8_lr001,12,2,1,0.01,500,8,0.01,0.3173878639936447,1.3735352134758523,0.8914868105515588,105,1.0,1.0,9.931456565856934,20567.276366959628,0.38064516129032255,27,0.0315154469836435,0.0,12780,198355
emb12_h2_l1_d001_ep500_bs8_lr0005,12,2,1,0.01,500,8,0.005,0.32399381697177887,1.3826387581985888,0.8902877697841727,105,1.0,1.0,10.421103477478027,33560.44691803523,0.34623655913978496,27,0.045162770548920726,0.0,12780,198212
emb12_h2_l1_d005_ep300_bs4_lr001,12,2,1,0.05,300,4,0.01,0.3650757074356079,1.4406230698990719,0.882494004796163,105,0.9962526729496441,0.9904761904761905,8.916975975036621,7457.503420366138,0.35268817204301073,27,0.01724013419435643,0.0,12780,198138
emb12_h2_l1_d005_ep300_bs4_lr0005,12,2,1,0.05,300,4,0.005,0.3520202338695526,1.4219372947212354,0.8872901678657075,105,1.0,1.0,9.043508529663086,8463.419182711563,0.4021505376344086,27,0.07041706611001511,0.0,12780,198367
emb12_h2_l1_d005_ep300_bs8_lr001,12,2,1,0.05,300,8,0.01,0.36385592818260193,1.4388668990551323,0.8866906474820144,105,0.9825822765683574,0.9809523809523809,9.167535781860352,9580.985937109332,0.36129032258064514,27,0.04548003818217342,0.0,12780,198119
emb12_h2_l1_d005_ep300_bs8_lr0005,12,2,1,0.05,300,8,0.005,0.3711914196610451,1.4494605020711497,0.8842925659472423,105,0.9823320578047844,0.9809523809523809,9.284876823425293,10773.84615036966,0.3978494623655914,27,0.08995184876208358,0.0,12780,198294
emb12_h2_l1_d005_ep500_bs4_lr001,12,2,1,0.05,500,4,0.01,0.3382444307208061,1.40248327150906,0.8884892086330936,105,0.9937359817081434,0.9904761904761905,8.674822807312012,5853.6624684434155,0.3741935483870968,27,0.08699505891163985,0.0,12780,197975
emb12_h2_l1_d005_ep500_bs4_lr0005,12,2,1,0.05,500,4,0.005,0.3373289927840233,1.4011999725964916,0.8896882494004796,105,0.9849180190519856,0.9809523809523809,9.003719329833984,8133.27808558349,0.36989247311827955,27,0.023818357798227358,0.0,12780,198274
emb12_h2_l1_d005_ep500_bs8_lr001,12,2,1,0.05,500,8,0.01,0.347992867231369,1.4162221481190846,0.8848920863309353,105,0.9761904761904762,0.9714285714285714,8.970907211303711,7870.738790726663,0.35913978494623655,27,0.04843319980484369,0.0,12780,198240
emb12_h2_l1_d005_ep500_bs8_lr0005,12,2,1,0.05,500,8,0.005,0.33929111808538437,1.4039520015448768,0.8854916067146283,105,0.9936507936507936,0.9904761904761905,9.382613182067871,11880.018879131674,0.37849462365591396,27,0.05824256731123118,0.0,12780,198157
emb12_h2_l2_d001_ep300_bs4_lr001,12,2,2,0.01,300,4,0.01,0.3387906774878502,1.403249582740417,0.8890887290167866,105,1.0,1.0,8.98150634765625,7954.605496547514,0.3827956989247312,27,0.11227035125265063,0.037037037037037035,14628,223339
emb12_h2_l2_d001_ep300_bs4_lr0005,12,2,2,0.01,300,4,0.005,0.31986983865499496,1.3769485271990338,0.8920863309352518,105,1.0,1.0,9.574481010437012,14392.766175730629,0.35698924731182796,27,0.03553381454315824,0.0,14628,223475
emb12_h2_l2_d001_ep300_bs8_lr001,12,2,2,0.01,300,8,0.01,0.332889162003994,1.3949926717085266,0.8920863309352518,105,1.0,1.0,9.551207542419434,14061.664479906345,0.3763440860215054,27,0.037904449303115983,0.0,14628,223388
emb12_h2_l2_d001_ep300_bs8_lr0005,12,2,2,0.01,300,8,0.005,0.3377169445157051,1.4017436760108144,0.8890887290167866,105,1.0,1.0,9.661811828613281,15706.215875403479,0.36129032258064514,27,0.04367744510635219,0.0,14628,223392
emb12_h2_l2_d001_ep500_bs4_lr001,12,2,2,0.01,500,4,0.01,0.3544669970870018,1.425420698385631,0.88189448441247,105,0.9425805219390405,0.9142857142857143,9.789835929870605,17851.3770496453,0.3720430107526882,27,0.019196271540549075,0.0,14628,223523
emb12_h2_l2_d001_ep500_bs4_lr0005,12,2,2,0.01,500,4,0.005,0.3286413624882698,1.3890795901967978,0.8914868105515588,105,0.9978933407911562,0.9904761904761905,9.742141723632812,17019.954412083767,0.35268817204301073,27,0.05301019915670957,0.0,14628,223557
emb12_h2_l2_d001_ep500_bs8_lr001,12,2,2,0.01,500,8,0.01,0.3397730439901352,1.404628765445377,0.8926858513189448,105,1.0,1.0,9.430685043334961,12465.062915716857,0.3720430107526882,27,0.09464204134825081,0.037037037037037035,14628,223392
emb12_h2_l2_d001_ep500_bs8_lr0005,12,2,2,0.01,500,8,0.005,0.3218354880809784,1.3796577871364202,0.8896882494004796,105,1.0,1.0,9.97737979888916,21533.815637738873,0.37849462365591396,27,0.0367283950617284,0.0,14628,223567
emb12_h2_l2_d005_ep300_bs4_lr001,12,2,2,0.05,300,4,0.01,0.37154627591371536,1.4499749434642826,0.8866906474820144,105,0.9748402558811169,0.9619047619047619,8.47994613647461,4817.190419024012,0.3741935483870968,27,0.03655352876934719,0.0,14628,223255
emb12_h2_l2_d005_ep300_bs4_lr0005,12,2,2,0.05,300,4,0.005,0.35416966676712036,1.424996940594556,0.8884892086330936,105,1.0,1.0,8.972821235656738,7885.818002834486,0.3741935483870968,27,0.05944979432512917,0.0,14628,223523
emb12_h2_l2_d005_ep300_bs8_lr001,12,2,2,0.05,300,8,0.01,0.34688761830329895,1.4146577348002929,0.8860911270983214,105,0.9941847656336733,0.9904761904761905,9.318174362182617,11138.628179005455,0.3548387096774194,27,0.035153996682194495,0.0,14628,223373
emb12_h2_l2_d005_ep300_bs8_lr0005,12,2,2,0.05,300,8,0.005,0.3532898649573326,1.4237437770558878,0.8860911270983214,105,0.986176364672736,0.9809523809523809,9.233190536499023,10231.132294029394,0.37849462365591396,27,0.02616786887000411,0.0,14628,223430
emb12_h2_l2_d005_ep500_bs4_lr001,12,2,2,0.05,500,4,0.01,0.34837228804826736,1.4167595942361084,0.882494004796163,105,0.9904761904761905,0.9904761904761905,8.844022750854492,6932.8256504981955,0.3913978494623656,27,0.05623896618287923,0.0,14628,223408
emb12_h2_l2_d005_ep500_bs4_lr0005,12,2,2,0.05,500,4,0.005,0.3244449645280838,1.3832626730238446,0.8908872901678657,105,1.0,1.0,9.066746711730957,8662.39664168324,0.3978494623655914,27,0.1211191141416882,0.037037037037037035,14628,223438
emb12_h2_l2_d005_ep500_bs8_lr001,12,2,2,0.05,500,8,0.01,0.33220330625772476,1.394036235994589,0.8884892086330936,105,0.9989417989417989,0.9904761904761905,9.177388191223145,9675.848276606013,0.4,27,0.08385749451936887,0.0,14628,223522
emb12_h2_l2_d005_ep500_bs8_lr0005,12,2,2,0.05,500,8,0.005,0.33378612250089645,1.396244486358735,0.8884892086330936,105,1.0,1.0,9.34260082244873,11414.055601748036,0.4021505376344086,27,0.044336277183293686,0.0,14628,223605
emb12_h4_l1_d001_ep300_bs4_lr001,12,4,1,0.01,300,4,0.01,0.3455352187156677,1.412745845373747,0.8890887290167866,105,0.9907132717541327,0.9904761904761905,9.596673965454102,14715.75496930037,0.35698924731182796,27,0.03788876120397423,0.0,12780,198339
emb12_h4_l1_d001_ep300_bs4_lr0005,12,4,1,0.01,300,4,0.005,0.32181617617607117,1.3796311435737003,0.8914868105515588,105,1.0,1.0,9.546751022338867,13999.137818930127,0.35913978494623655,27,0.03452266985417595,0.0,12780,198143
emb12_h4_l1_d001_ep300_bs8_lr001,12,4,1,0.01,300,8,0.01,0.32522325217723846,1.384339668329504,0.8741007194244604,105,1.0,1.0,9.41379451751709,12256.289557998476,0.35053763440860214,27,0.06273226857104593,0.0,12780,198243
emb12_h4_l1_d001_ep300_bs8_lr0005,12,4,1,0.01,300,8,0.005,0.32738497108221054,1.387335458422857,0.8908872901678657,105,1.0,1.0,9.545583724975586,13982.806196050475,0.3935483870967742,27,0.08934326556578916,0.0,12780,198254
emb12_h4_l1_d001_ep500_bs4_lr001,12,4,1,0.01,500,4,0.01,0.34164583683013916,1.4072618089430875,0.8866906474820144,105,0.9709190629499193,0.9619047619047619,9.614991188049316,14987.790591161367,0.3419354838709677,27,0.04776770011197765,0.0,12780,198185
emb12_h4_l1_d001_ep500_bs4_lr0005,12,4,1,0.01,500,4,0.005,0.3242175504565239,1.3829481353938327,0.8920863309352518,105,0.9961904761904762,0.9904761904761905,9.073543548583984,8721.474080837634,0.36129032258064514,27,0.037549769266343076,0.0,12780,198183
emb12_h4_l1_d001_ep500_bs8_lr001,12,4,1,0.01,500,8,0.01,0.33201179653406143,1.3937692900624437,0.8908872901678657,105,1.0,1.0,9.133378028869629,9259.24720398539,0.36989247311827955,27,0.08401851550816286,0.037037037037037035,12780,198368
emb12_h4_l1_d001_ep500_bs8_lr0005,12,4,1,0.01,500,8,0.005,0.31759415566921234,1.3738185915847587,0.8902877697841727,105,1.0,1.0,9.988790512084961,21780.939077968957,0.36989247311827955,27,0.05922986478542035,0.0,12780,198112
emb12_h4_l1_d005_ep300_bs4_lr001,12,4,1,0.05,300,4,0.01,0.35402926057577133,1.4247968762469083,0.8705035971223022,105,0.9971428571428572,0.9904761904761905,8.572413444519043,5283.86673326573,0.33548387096774196,27,0.06303999653354928,0.0,12780,198251
emb12_h4_l1_d005_ep300_bs4_lr0005,12,4,1,0.05,300,4,0.005,0.35286007076501846,1.4231319917294736,0.8872901678657075,105,0.9905689051676889,0.9809523809523809,8.89726734161377,7311.965110727415,0.35913978494623655,27,0.025817758664775176,0.0,12780,198307
emb12_h4_l1_d005_ep300_bs8_lr001,12,4,1,0.05,300,8,0.01,0.36045629531145096,1.4339835852881366,0.8842925659472423,105,0.9907132717541327,0.9904761904761905,8.735101699829102,6217.366475345994,0.3655913978494624,27,0.05348847265963626,0.0,12780,198167
emb12_h4_l1_d005_ep300_bs8_lr0005,12,4,1,0.05,300,8,0.005,0.36268140375614166,1.437177906811255,0.8872901678657075,105,1.0,1.0,8.971976280212402,7879.157652225966,0.3741935483870968,27,0.0582402105687516,0.0,12780,198135
emb12_h4_l1_d005_ep500_bs4_lr001,12,4,1,0.05,500,4,0.01,0.34215471148490906,1.4079781110488203,0.8860911270983214,105,0.9928119329598186,0.9904761904761905,8.536134719848633,5095.61028605479,0.4021505376344086,27,0.09886182466890776,0.037037037037037035,12780,198382
emb12_h4_l1_d005_ep500_bs4_lr0005,12,4,1,0.05,500,4,0.005,0.34354692697525024,1.4099396851351607,0.8884892086330936,105,0.9827077497665735,0.9714285714285714,9.277046203613281,10689.809715355472,0.36129032258064514,27,0.03334195329676801,0.0,12780,198197
emb12_h4_l1_d005_ep500_bs8_lr001,12,4,1,0.05,500,8,0.01,0.3384312018752098,1.4027452393919722,0.8884892086330936,105,0.9926012396204612,0.9904761904761905,9.747124671936035,17104.975617256045,0.3634408602150538,27,0.04769710483196801,0.0,12780,198240
emb12_h4_l1_d005_ep500_bs8_lr0005,12,4,1,0.05,500,8,0.005,0.33772294223308563,1.4017520832984351,0.8890887290167866,105,0.9939798042016328,0.9904761904761905,9.39475154876709,12025.101657292058,0.3655913978494624,27,0.07698347980847636,0.037037037037037035,12780,198154
emb12_h4_l2_d001_ep300_bs4_lr001,12,4,2,0.01,300,4,0.01,0.3357431888580322,1.3989797050985964,0.8878896882494005,105,1.0,1.0,8.85132122039795,6983.609765086225,0.34408602150537637,27,0.05073405660345129,0.0,14628,223558
emb12_h4_l2_d001_ep300_bs4_lr0005,12,4,2,0.01,300,4,0.005,0.33206848055124283,1.3938482967440156,0.8788968824940048,105,0.998639455782313,0.9904761904761905,9.611233711242676,14931.579986788121,0.33763440860215055,27,0.02120304977048136,0.0,14628,223523
emb12_h4_l2_d001_ep300_bs8_lr001,12,4,2,0.01,300,8,0.01,0.34396105259656906,1.41052369820233,0.8896882494004796,105,0.998639455782313,0.9904761904761905,9.483111381530762,13135.994086680554,0.33978494623655914,27,0.059229714809794366,0.0,14628,223217
emb12_h4_l2_d001_ep300_bs8_lr0005,12,4,2,0.01,300,8,0.005,0.3257695138454437,1.385096086608434,0.8902877697841727,105,1.0,1.0,9.424264907836914,12385.291867277176,0.36774193548387096,27,0.047697441299264384,0.0,14628,223352
emb12_h4_l2_d001_ep500_bs4_lr001,12,4,2,0.01,500,4,0.01,0.3385009169578552,1.402843035301152,0.8866906474820144,105,0.998095238095238,0.9904761904761905,9.613056182861328,14958.81717950222,0.36989247311827955,27,0.08542017597716679,0.0,14628,223403
emb12_h4_l2_d001_ep500_bs4_lr0005,12,4,2,0.01,500,4,0.005,0.3215901851654053,1.3793193945647817,0.8914868105515588,105,1.0,1.0,9.75168514251709,17183.160499769812,0.3763440860215054,27,0.05637481477098302,0.0,14628,223426
emb12_h4_l2_d001_ep500_bs8_lr001,12,4,2,0.01,500,8,0.01,0.3203132748603821,1.377559251427558,0.8920863309352518,105,1.0,1.0,9.46058464050293,12843.391019947456,0.3763440860215054,27,0.07117953346360263,0.0,14628,223571
emb12_h4_l2_d001_ep500_bs8_lr0005,12,4,2,0.01,500,8,0.005,0.3109768107533455,1.3647575731192287,0.8872901678657075,105,0.9922279973389116,0.9904761904761905,9.761664390563965,17355.493969692212,0.3333333333333333,27,0.019038021151641927,0.0,14628,223417
emb12_h4_l2_d005_ep300_bs4_lr001,12,4,2,0.05,300,4,0.01,0.34971366822719574,1.4186612826325415,0.8872901678657075,105,0.9726825126109806,0.9619047619047619,8.961837768554688,7799.6783024747465,0.3827956989247312,27,0.06699996708876141,0.0,14628,223255
emb12_h4_l2_d005_ep300_bs4_lr0005,12,4,2,0.05,300,4,0.005,0.34182877838611603,1.4075192791583653,0.8878896882494005,105,0.9842315031349358,0.9809523809523809,9.488966941833496,13213.138333161069,0.35053763440860214,27,0.06245826403319401,0.0,14628,223503
emb12_h4_l2_d005_ep300_bs8_lr001,12,4,2,0.05,300,8,0.01,0.3556048944592476,1.4270436040275885,0.8872901678657075,105,0.9756773568829853,0.9714285714285714,9.563324928283691,14233.091621148462,0.3849462365591398,27,0.05275292384487186,0.0,14628,223207
emb12_h4_l2_d005_ep300_bs8_lr0005,12,4,2,0.05,300,8,0.005,0.346977062523365,1.4147842734170322,0.8884892086330936,105,1.0,1.0,9.320294380187988,11162.26732014871,0.33978494623655914,27,0.06690916018640657,0.0,14628,223523
emb12_h4_l2_d005_ep500_bs4_lr001,12,4,2,0.05,500,4,0.01,0.34930437058210373,1.4180807467244714,0.8836930455635491,105,0.9941847656336733,0.9904761904761905,9.27469539642334,10664.709548203455,0.37849462365591396,27,0.05228161910850518,0.0,14628,223423
